"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 10:53:50 UTC 2022","Mon Nov 28 10:53:56 UTC 2022","6023","","Login","","","","Login page - check 'Welcome' text is displayed - smoke",""
"passed","Mon Nov 28 10:53:57 UTC 2022","Mon Nov 28 10:53:58 UTC 2022","1206","","Login","","","","Login page - check 'Continue' text is displayed - smoke & regression",""
"passed","Mon Nov 28 10:53:56 UTC 2022","Mon Nov 28 10:53:57 UTC 2022","1320","","Login","","","","Login page - check 'Login to the Pro platform' text is displayed - smoke",""
