"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 15:55:45 UTC 2022","Fri Nov 25 15:55:52 UTC 2022","7154","","Login","","","","Login page - check 'Welcome' text is displayed - smoke",""
"passed","Fri Nov 25 15:55:54 UTC 2022","Fri Nov 25 15:55:56 UTC 2022","1655","","Login","","","","Login page - check 'Continue' text is displayed - smoke & regression",""
"passed","Fri Nov 25 15:55:52 UTC 2022","Fri Nov 25 15:55:54 UTC 2022","1647","","Login","","","","Login page - check 'Login to the Pro platform' text is displayed - smoke",""
