"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 25 16:10:09 UTC 2022","Fri Nov 25 16:10:15 UTC 2022","5690","","Login","","","","Login page - check 'Error' text is displayed - regression - should fail",""
"passed","Fri Nov 25 16:09:57 UTC 2022","Fri Nov 25 16:10:03 UTC 2022","5894","","Login","","","","Login page - check 'Continue' text is displayed - smoke & regression",""
