"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 18:17:57 MSK 2022","Thu Nov 24 18:18:00 MSK 2022","3065","","Login","","","","Login page - check 'Continue' text is displayed",""
"passed","Thu Nov 24 18:17:41 MSK 2022","Thu Nov 24 18:17:53 MSK 2022","12351","","Login","","","","Login page - check 'Welcome' text is displayed",""
"passed","Thu Nov 24 18:17:53 MSK 2022","Thu Nov 24 18:17:57 MSK 2022","3173","","Login","","","","Login page - check 'Login to the Pro platform' text is displayed",""
