"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 25 16:25:54 UTC 2022","Fri Nov 25 16:25:59 UTC 2022","5674","","Login","","","","Login page - check 'Error' text is displayed - regression - should fail",""
"passed","Fri Nov 25 16:25:42 UTC 2022","Fri Nov 25 16:25:48 UTC 2022","6162","","Login","","","","Login page - check 'Continue' text is displayed - smoke & regression",""
